ticker,date,candidate,is_selected,fill_time,signal_data_cutoff,reference_price,from_position,to_position,turnover,cost_fraction_of_day_start_equity,slippage_bps_per_side,commission_bps_per_side
MSTR,2026-08-31,reversal_3,False,2026-08-31T12:30:00-04:00,2026-08-31T12:30:00-04:00,130.32000732421875,-1.0,1.0,2.0,0.0010024442066303982,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T12:45:00-04:00,2026-08-31T12:45:00-04:00,130.5449981689453,1.0,-1.0,2.0,0.0010031707005407804,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T13:00:00-04:00,2026-08-31T13:00:00-04:00,129.96499633789062,-1.0,1.0,2.0,0.0010066193591873576,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T13:10:00-04:00,2026-08-31T13:10:00-04:00,130.66000366210938,1.0,-1.0,2.0,0.0010109904048857,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T13:30:00-04:00,2026-08-31T13:30:00-04:00,130.57000732421875,-1.0,1.0,2.0,0.0010106561156221568,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T13:40:00-04:00,2026-08-31T13:40:00-04:00,130.8699951171875,1.0,-1.0,2.0,0.001011965144702892,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T14:25:00-04:00,2026-08-31T14:25:00-04:00,131.1649932861328,-1.0,1.0,2.0,0.0010086363787600952,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T14:45:00-04:00,2026-08-31T14:45:00-04:00,132.0998992919922,1.0,-1.0,2.0,0.0010148098204985337,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T15:20:00-04:00,2026-08-31T15:20:00-04:00,132.49000549316406,-1.0,1.0,2.0,0.0010107620691724168,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T15:35:00-04:00,2026-08-31T15:35:00-04:00,132.6999969482422,1.0,-1.0,2.0,0.0010113517232663836,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T15:45:00-04:00,2026-08-31T15:45:00-04:00,132.35000610351562,-1.0,1.0,2.0,0.001013007890256113,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T15:50:00-04:00,2026-08-31T15:50:00-04:00,132.97999572753906,1.0,-1.0,2.0,0.0010168120054943337,5.0,0.0
MSTR,2026-08-31,reversal_3,False,2026-08-31T16:00:00-04:00,,132.9499969482422,-1.0,0.0,1.0,0.0005080098842764821,5.0,0.0
MSTR,2026-08-31,ml_ridge,True,2026-08-31T09:35:00-04:00,2026-08-31T09:35:00-04:00,127.1449966430664,0.0,1.0,1.0,0.0005,5.0,0.0
