day,symbol,eligible,reason,last_price,adv,history_start,history_end,sessions,dollar_volume_method,instrument_admitted,market_cap,metadata_known_at,membership_basis
2026-09-01,NVDA,True,admitted,220.8800048828125,22573252185.89088,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,5271048421376,2026-09-13T19:07:20.541350+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,ORCL,True,admitted,149.11000061035156,2901466659.2776275,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,432877174784,2026-09-13T19:07:20.552533+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,PG,True,admitted,145.14999389648438,902547740.9152024,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,337414619136,2026-09-13T19:07:20.557477+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,PLTR,True,admitted,186.36000061035156,6560384888.115531,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,401863442432,2026-09-13T19:07:20.707534+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,SMCI,False,small_or_unknown_market_cap,37.279998779296875,1766337797.0934072,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,26344310784,2026-09-13T19:07:20.745942+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,SNDK,True,admitted,1569.6099853515625,18456705199.490368,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,239153479680,2026-09-13T19:07:20.750549+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,TSLA,True,admitted,367.9200134277344,10492380574.153614,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,1443322658816,2026-09-13T19:07:20.861480+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,TSM,True,admitted,415.1099853515625,3603680516.889247,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,2246988005376,2026-09-13T19:07:20.932748+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,UBER,True,admitted,75.62999725341797,1251869756.1854472,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,146390286336,2026-09-13T19:07:20.959860+00:00,contemporary_selected_panel_not_historical_proof
2026-09-01,UNH,True,admitted,389.3299865722656,1208820286.6455963,2026-08-04,2026-08-31,20,sum_5min_close_times_volume_proxy,True,340269203456,2026-09-13T19:07:21.027665+00:00,contemporary_selected_panel_not_historical_proof
