feature,horizon_minutes,rows,pearson,spearman,min_time,max_time
QQQ_return_12,30,59,0.1408468068697991,0.18100526008182352,2026-09-14T11:10:00-04:00,2026-09-14T11:40:00-04:00
QQQ_return_12,60,53,0.493475393047394,0.4950814384776649,2026-09-14T11:10:00-04:00,2026-09-14T11:40:00-04:00
QQQ_relative_12,5,64,-0.006025109535464504,0.08324175824175822,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
QQQ_relative_12,15,62,-0.10720211336212576,-0.014983254010223868,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
QQQ_relative_12,30,59,-0.18684733047276098,-0.1528345996493279,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
QQQ_relative_12,60,53,-0.2953847019511077,-0.36187711659409766,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
SOXX_return_12,5,64,0.048097199037922075,-0.0071428571428571435,2026-09-14T11:10:00-04:00,2026-09-14T10:30:00-04:00
SOXX_return_12,15,62,-0.030433189583823753,-0.005313389237239052,2026-09-14T11:10:00-04:00,2026-09-14T10:30:00-04:00
SOXX_return_12,30,59,-0.02942290146019031,0.03898305084745763,2026-09-14T11:10:00-04:00,2026-09-14T10:30:00-04:00
SOXX_return_12,60,53,0.26131455252174457,0.37518142235123364,2026-09-14T11:10:00-04:00,2026-09-14T10:30:00-04:00
SOXX_relative_12,5,64,-0.006010857152919498,0.11011904761904759,2026-09-14T11:40:00-04:00,2026-09-14T10:40:00-04:00
SOXX_relative_12,15,62,-0.07932986436165156,0.00526302535821309,2026-09-14T11:40:00-04:00,2026-09-14T10:40:00-04:00
SOXX_relative_12,30,59,-0.15259620240524738,-0.08947983635300996,2026-09-14T11:40:00-04:00,2026-09-14T10:40:00-04:00
SOXX_relative_12,60,53,-0.3202936547487066,-0.37534268666344134,2026-09-14T11:40:00-04:00,2026-09-14T10:40:00-04:00
trend_efficiency_12,5,64,0.0612952463544162,0.10558608058608057,2026-09-14T11:15:00-04:00,2026-09-14T13:25:00-04:00
trend_efficiency_12,15,62,0.031021547937552192,0.07038352093878271,2026-09-14T11:15:00-04:00,2026-09-14T13:25:00-04:00
trend_efficiency_12,30,59,-0.00897786302912336,0.014319111630625369,2026-09-14T11:15:00-04:00,2026-09-14T13:25:00-04:00
trend_efficiency_12,60,53,-0.21264907903300673,-0.23899371069182387,2026-09-14T11:15:00-04:00,2026-09-14T13:25:00-04:00
