feature,horizon_minutes,rows,pearson,spearman,min_time,max_time
SPY_return_3,30,68,0.2918746759573723,0.269687368782685,2026-09-14T10:20:00-04:00,2026-09-14T11:40:00-04:00
SPY_return_3,60,62,0.28594749081961357,0.2778323386467226,2026-09-14T10:20:00-04:00,2026-09-14T11:40:00-04:00
SPY_relative_3,5,73,0.012857584717243851,0.13670862643465387,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
SPY_relative_3,15,71,0.10212184708499032,0.17069081153588192,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
SPY_relative_3,30,68,0.0013943470512697135,0.02091842577394358,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
SPY_relative_3,60,62,-0.10779515007751868,-0.03225806451612903,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
QQQ_return_3,5,73,-0.0873291943556255,0.09842033814636554,2026-09-14T10:25:00-04:00,2026-09-14T09:45:00-04:00
QQQ_return_3,15,71,0.15997989118371309,0.17223340040241447,2026-09-14T10:25:00-04:00,2026-09-14T09:45:00-04:00
QQQ_return_3,30,68,0.23197563767690513,0.1788754437531015,2026-09-14T10:25:00-04:00,2026-09-14T09:45:00-04:00
QQQ_return_3,60,62,0.14661188351508345,0.15449119891214022,2026-09-14T10:25:00-04:00,2026-09-14T09:45:00-04:00
QQQ_relative_3,5,73,0.02894665159713111,0.13957793409848207,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
QQQ_relative_3,15,71,0.10278488713616986,0.14332662642521796,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
QQQ_relative_3,30,68,-0.006609145104305997,0.004657021796388898,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
QQQ_relative_3,60,62,-0.10257099871634504,-0.053561985344111204,2026-09-14T11:45:00-04:00,2026-09-14T10:05:00-04:00
SOXX_return_3,5,73,-0.18989999940770355,0.012001727755152415,2026-09-14T10:35:00-04:00,2026-09-14T09:45:00-04:00
SOXX_return_3,15,71,0.05658868119974519,0.05446009389671361,2026-09-14T10:35:00-04:00,2026-09-14T09:45:00-04:00
SOXX_return_3,30,68,0.1027532903774792,-0.02462113982517082,2026-09-14T10:35:00-04:00,2026-09-14T09:45:00-04:00
SOXX_return_3,60,62,0.019808118579356746,0.05713782075495455,2026-09-14T10:35:00-04:00,2026-09-14T09:45:00-04:00
SOXX_relative_3,5,73,0.14625654191939774,0.14482290509687773,2026-09-14T14:20:00-04:00,2026-09-14T10:05:00-04:00
SOXX_relative_3,15,71,0.1322313856182129,0.1573775989268947,2026-09-14T14:20:00-04:00,2026-09-14T10:05:00-04:00
SOXX_relative_3,30,68,-0.009695125078946834,0.018170019467878,2026-09-14T14:20:00-04:00,2026-09-14T10:05:00-04:00
SOXX_relative_3,60,62,-0.09335650523645947,-0.08272267130014355,2026-09-14T14:20:00-04:00,2026-09-14T10:05:00-04:00
momentum_12,5,64,0.013030639399209122,0.09903846153846152,2026-09-14T11:15:00-04:00,2026-09-14T13:05:00-04:00
momentum_12,15,62,-0.08462376195667635,0.03250988391125884,2026-09-14T11:15:00-04:00,2026-09-14T13:05:00-04:00
momentum_12,30,59,-0.15252047620540096,-0.08760958503798949,2026-09-14T11:15:00-04:00,2026-09-14T13:05:00-04:00
momentum_12,60,53,-0.19738729061543647,-0.2358490566037736,2026-09-14T11:15:00-04:00,2026-09-14T13:05:00-04:00
SPY_return_12,5,64,0.1486351998146121,0.20590895043645785,2026-09-14T11:00:00-04:00,2026-09-14T11:50:00-04:00
SPY_return_12,15,62,0.23104645169466903,0.29671879328145856,2026-09-14T11:00:00-04:00,2026-09-14T11:50:00-04:00
SPY_return_12,30,59,0.3196952939606696,0.38147282291057866,2026-09-14T11:00:00-04:00,2026-09-14T11:50:00-04:00
SPY_return_12,60,53,0.6744555792614582,0.6803741332043218,2026-09-14T11:00:00-04:00,2026-09-14T11:50:00-04:00
SPY_relative_12,5,64,-0.011457482247550875,0.07637362637362637,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
SPY_relative_12,15,62,-0.12168905936563322,-0.020422552945027827,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
SPY_relative_12,30,59,-0.20282122970735467,-0.15406195207481008,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
SPY_relative_12,60,53,-0.3046937569245812,-0.34986292533462343,2026-09-14T11:15:00-04:00,2026-09-14T10:40:00-04:00
QQQ_return_12,5,64,0.08611401639672873,0.10137362637362636,2026-09-14T15:35:00-04:00,2026-09-14T11:40:00-04:00
QQQ_return_12,15,62,0.08843823970737266,0.14366296492155828,2026-09-14T15:35:00-04:00,2026-09-14T11:40:00-04:00
