symbol,feed,horizon,model,split,rows,mse_bps2,rmse_bps,mae_bps,mean_error_bps,ic,rank_ic,target_zero_fraction,forecast_zero_fraction,directional_rows,direction_accuracy_nonzero,forecast_direction_coverage,sign_match_including_zeros,predicted_abs_bps_p50,target_abs_bps_p50
TSLA,iex,1s,l1_ridge,2026-09-11_intraday,905,190.68619229332393,13.808917129642133,9.134919381255122,-0.31691373037929443,0.09062978743121392,0.0513214882632219,0.2165745856353591,0.0,709,0.5021156558533145,1.0,0.39337016574585637,1.1666345300980494,3.0136986301376734
TSLA,iex,1s,past_mid_plus_l1_ridge,2026-09-11_intraday,905,161.46803372281917,12.707007268543572,8.92030921009332,0.5610719470622162,0.40034459557342167,0.2706218872160305,0.2165745856353591,0.0,709,0.5726375176304654,1.0,0.4486187845303867,2.013040568031565,3.0136986301376734
TSLA,iex,5s,zero,2026-09-11_intraday,891,219.67212917983872,14.821340330072672,9.529789233640903,-0.9032522521363803,,,0.13131313131313133,1.0,0,,0.0,0.13131313131313133,0.0,4.503336562997617
TSLA,iex,5s,past_mid_ridge,2026-09-11_intraday,891,191.39748195649156,13.834647879743509,10.495180372235378,3.5240030764297074,0.43204601545397087,0.34786735903417,0.13131313131313133,0.0,774,0.5490956072351422,1.0,0.4769921436588103,4.457388467326132,4.503336562997617
TSLA,iex,5s,qi_ridge,2026-09-11_intraday,891,232.76401215066429,15.25660552517054,11.306483879907132,3.5779197861351713,-0.10627158662927412,-0.10603116678297177,0.13131313131313133,0.0,774,0.48320413436692505,1.0,0.41975308641975306,4.357781673049084,4.503336562997617
TSLA,iex,5s,l1_ridge,2026-09-11_intraday,891,236.8709914332942,15.3906137445293,11.195530695271394,2.197378535626063,0.10243231638018349,0.10822565784827864,0.13131313131313133,0.0,774,0.520671834625323,1.0,0.45230078563411896,4.145999444212236,4.503336562997617
TSLA,iex,5s,past_mid_plus_l1_ridge,2026-09-11_intraday,891,205.7536057406968,14.344113975449888,10.90797052264788,2.869922231754388,0.3595036197153065,0.31897296969964795,0.13131313131313133,0.0,774,0.5658914728682171,1.0,0.49158249158249157,5.208559595447852,4.503336562997617
TSLA,iex,30s,zero,2026-09-11_intraday,842,298.16344537984537,17.26740992099989,12.22754312070358,-1.6362081896238219,,,0.052256532066508314,1.0,0,,0.0,0.052256532066508314,0.0,8.492282582048261
TSLA,iex,30s,past_mid_ridge,2026-09-11_intraday,842,262.1100947174403,16.18981453622741,12.81129490942847,3.8877664102925107,0.40606445986955675,0.3463776815219239,0.052256532066508314,0.0,798,0.5927318295739349,1.0,0.5617577197149644,5.920733358818471,8.492282582048261
TSLA,iex,30s,qi_ridge,2026-09-11_intraday,842,326.48367005036306,18.06885912420491,14.096571675974538,5.559980418482351,0.1094357947700066,0.11038656768262742,0.052256532066508314,0.0,798,0.5150375939849624,1.0,0.48812351543942994,8.511505075732543,8.492282582048261
