date,symbol,horizon,rows,ic,rank_ic,mse_bps2
2026-09-04,NVDA,1,76,-0.023321943846980314,0.04850307587149693,252.57782808505328
2026-09-04,NVDA,3,74,0.2087157385662424,-0.0074787115883006286,652.1664127033894
2026-09-04,NVDA,6,71,0.4547762117951152,0.4967806841046278,1130.447555896316
2026-09-04,NVDA,12,65,0.6610353840304745,0.6375,2764.3153731443053
2026-09-08,SNDK,1,76,-0.201500345900173,-0.20552289815447708,1846.0385164983702
2026-09-08,SNDK,3,74,-0.4589021632704553,-0.23651980747871154,3548.3583927172826
2026-09-08,SNDK,6,71,-0.17348535422730832,-0.033132126089872566,5682.273511755818
2026-09-08,SNDK,12,65,0.2802009710513804,0.2542832167832168,11559.110898735678
2026-09-08,TSLA,1,76,0.19616118759466827,0.19641831852358171,359.59888828013965
2026-09-08,TSLA,3,74,0.11106008097759311,0.1522251018141429,1045.888621322415
2026-09-08,TSLA,6,71,0.39628860863806037,0.34376257545271627,1836.0808508686707
2026-09-08,TSLA,12,65,0.6831369850512039,0.7820804195804196,4253.69577449742
2026-09-08,PLTR,1,76,-0.3602378011072154,-0.08967874231032126,436.21032562331357
2026-09-08,PLTR,3,74,-0.30439124155715963,0.03591262495372084,1119.7809346001711
2026-09-08,PLTR,6,71,-0.29870517901299354,0.04004024144869215,1878.595404549092
2026-09-08,PLTR,12,65,-0.0916033377010316,0.054020979020979014,3190.063473108992
2026-09-08,NVDA,1,76,0.012311436139679173,-0.006684939746839328,232.9281279104349
2026-09-08,NVDA,3,74,0.32451662513798796,0.11324694557571267,380.5979131292042
2026-09-08,NVDA,6,71,0.4110406532814617,0.22686116700201203,986.2836302253266
2026-09-08,NVDA,12,65,0.4541655564794605,0.2848776223776224,2209.364163541334
2026-09-09,SNDK,1,76,0.05935182936211506,-0.05826384142173616,1504.3793072382614
2026-09-09,SNDK,3,74,-0.04737168808220834,0.054246575342465735,5706.003358414383
2026-09-09,SNDK,6,71,-0.2362036127955224,0.1350435949027498,10039.265868127384
2026-09-09,SNDK,12,65,-0.10535295134044821,0.15327797202797203,11479.612808397145
2026-09-09,TSLA,1,76,-0.028665888935818527,0.07425837320574163,438.69567661332354
2026-09-09,TSLA,3,74,0.07234577427686571,0.17322473158089594,1091.3091464453269
2026-09-09,TSLA,6,71,0.1864819199784403,0.16083165660630444,2015.761971903235
2026-09-09,TSLA,12,65,-0.14303051060596667,-0.11927447552447552,2962.3628068859584
2026-09-09,PLTR,1,76,0.013172091532754292,-0.04607097940148281,384.81597857391955
2026-09-09,PLTR,3,74,0.0237866333924007,-0.05501666049611254,1251.377423757352
2026-09-09,PLTR,6,71,-0.09807331874753543,-0.18333948164171182,2210.6636207549077
2026-09-09,PLTR,12,65,0.6060366607180276,0.598513986013986,1200.3619151708747
2026-09-09,NVDA,1,76,0.01834473544320607,-0.009952153110047846,179.57902399264097
2026-09-09,NVDA,3,74,-0.04503105106054462,0.014172528693076636,288.7876181384672
2026-09-09,NVDA,6,71,0.023617045985013317,0.04932930918846411,377.2263784151735
2026-09-09,NVDA,12,65,0.007161256878476701,0.009527972027972028,332.9257677335277
2026-09-10,SNDK,1,76,-0.35604503477732846,-0.045112781954887216,806.8596364042543
2026-09-10,SNDK,3,74,-0.13470207430452308,-0.021103295075897813,1962.4461810409707
2026-09-10,SNDK,6,71,0.046118943727923384,0.09641180415828303,3297.5756049570473
2026-09-10,SNDK,12,65,-0.07941727545450881,0.0014423076923076922,5473.770144244286
2026-09-10,TSLA,1,76,-0.05297132956557134,-0.108215994531784,493.55969219155577
2026-09-10,TSLA,3,74,0.20110603091123178,0.21161051462421318,1182.0148898478228
2026-09-10,TSLA,6,71,0.13596709477957128,0.3377794917916475,1928.382856173769
2026-09-10,TSLA,12,65,-0.08668267166309493,0.10533216783216783,2515.0743879273778
2026-09-10,PLTR,1,76,-0.09254226119951586,-0.060642515379357484,625.7556111607149
2026-09-10,PLTR,3,74,-0.09967053926585093,-0.18270270270270267,1177.084349641815
2026-09-10,PLTR,6,71,-0.21402059396991535,-0.1721998658618377,1839.1255181168476
2026-09-10,PLTR,12,65,0.05866073592469646,0.02395104895104895,2609.090680774757
2026-09-10,NVDA,1,76,-0.032149675729739674,0.0971701982228298,162.97137428241876
2026-09-10,NVDA,3,74,0.03818092624921933,0.1193780081451314,339.013684726623
2026-09-10,NVDA,6,71,0.0034816640452309086,0.03417169684775318,563.440993791483
