strategy,symbol,start,end,shares_held,start_reference_price,end_reference_price,gross_pnl,end_fill_assumed_cost,net_increment,shares_after
l1_base,TSLA,2026-09-14 13:10:00-04:00,2026-09-14 13:15:00-04:00,1.0,362.5549926757813,362.6549987792969,0.10000610351556816,0.1813274993896484,-0.08132139587408024,0.0
l1_base,TSLA,2026-09-14 13:15:00-04:00,2026-09-14 13:20:00-04:00,0.0,362.6549987792969,362.3450012207031,-0.0,6.159865020751953,-6.159865020751953,-34.0
l1_base,TSLA,2026-09-14 13:20:00-04:00,2026-09-14 13:25:00-04:00,-34.0,362.3450012207031,362.8500061035156,-17.170166015625,0.1814250030517578,-17.351591018676757,-35.0
l1_base,TSLA,2026-09-14 13:25:00-04:00,2026-09-14 13:30:00-04:00,-35.0,362.8500061035156,362.8599853515625,-0.349273681640625,1.6328699340820312,-1.9821436157226562,-26.0
l1_base,TSLA,2026-09-14 13:30:00-04:00,2026-09-14 13:35:00-04:00,-26.0,362.8599853515625,362.5899963378906,7.01971435546875,3.807194961547852,3.212519393920898,-5.0
l1_base,TSLA,2026-09-14 13:35:00-04:00,2026-09-14 13:45:00-04:00,-5.0,362.5899963378906,362.6300048828125,-0.200042724609375,0.1813150024414062,-0.3813577270507812,-4.0
l1_base,TSLA,2026-09-14 13:45:00-04:00,2026-09-14 14:00:00-04:00,-4.0,362.6300048828125,362.2601013183594,1.4796142578125,0.1811300506591797,1.2984842071533202,-3.0
l1_base,TSLA,2026-09-14 14:00:00-04:00,2026-09-14 14:15:00-04:00,-3.0,362.2601013183594,361.4450073242188,2.4452819824217045,0.5421675109863281,1.9031144714353765,0.0
l1_base,TSLA,2026-09-14 14:15:00-04:00,2026-09-14 14:45:00-04:00,0.0,361.4450073242188,360.8699951171875,-0.0,2.345654968261719,-2.345654968261719,13.0
l1_base,TSLA,2026-09-14 14:45:00-04:00,2026-09-14 14:50:00-04:00,13.0,360.8699951171875,360.9400024414063,0.910095214844489,0.1804700012207031,0.7296252136237859,12.0
l1_base,TSLA,2026-09-14 14:50:00-04:00,2026-09-14 14:55:00-04:00,12.0,360.9400024414063,360.8299865722656,-1.3201904296881821,2.164979919433594,-3.485170349121776,0.0
l1_base,TSLA,2026-09-14 14:55:00-04:00,2026-09-14 15:15:00-04:00,0.0,360.8299865722656,359.6960144042969,-0.0,8.452856338500977,-8.452856338500977,47.0
l1_base,TSLA,2026-09-14 15:15:00-04:00,2026-09-14 15:20:00-04:00,47.0,359.6960144042969,359.614990234375,-3.808135986328125,0.1798074951171875,-3.9879434814453125,46.0
l1_base,TSLA,2026-09-14 15:20:00-04:00,2026-09-14 15:25:00-04:00,46.0,359.614990234375,359.45001220703125,-7.5889892578125,1.2580750427246097,-8.84706430053711,53.0
l1_base,TSLA,2026-09-14 15:25:00-04:00,2026-09-14 15:30:00-04:00,53.0,359.45001220703125,360.2950134277344,44.785064697265625,3.963245147705078,40.821819549560544,31.0
l1_base,TSLA,2026-09-14 15:30:00-04:00,2026-09-14 15:35:00-04:00,31.0,360.2950134277344,360.2703857421875,-0.763458251953125,1.8013519287109374,-2.5648101806640624,41.0
l1_base,TSLA,2026-09-14 15:35:00-04:00,2026-09-14 15:40:00-04:00,41.0,360.2703857421875,360.2349853515625,-1.451416015625,0.1801174926757812,-1.6315335083007811,40.0
l1_base,TSLA,2026-09-14 15:40:00-04:00,2026-09-14 15:45:00-04:00,40.0,360.2349853515625,360.3699951171875,5.400390625,1.6216649780273438,3.7787256469726564,31.0
l1_base,TSLA,2026-09-14 15:45:00-04:00,2026-09-14 15:50:00-04:00,31.0,360.3699951171875,360.17999267578125,-5.89007568359375,5.582789886474609,-11.47286557006836,0.0
l1_base,PLTR,,2026-09-14 09:40:00-04:00,0.0,,167.05999755859375,0.0,7.350639892578125,-7.350639892578125,-88.0
l1_base,PLTR,2026-09-14 09:40:00-04:00,2026-09-14 09:45:00-04:00,-88.0,167.05999755859375,167.19000244140625,-11.4404296875,7.356360107421875,-18.796789794921875,0.0
l1_base,PLTR,2026-09-14 09:45:00-04:00,2026-09-14 09:45:00-04:00,0.0,167.19000244140625,167.19000244140625,0.0,6.771195098876953,-6.771195098876953,81.0
l1_base,PLTR,2026-09-14 09:45:00-04:00,2026-09-14 09:50:00-04:00,81.0,167.19000244140625,167.50999450683594,25.919357299804688,6.784154777526855,19.135202522277833,0.0
l1_base,PLTR,2026-09-14 09:50:00-04:00,2026-09-14 09:55:00-04:00,0.0,167.50999450683594,168.4499969482422,0.0,3.705899932861328,-3.705899932861328,44.0
l1_base,PLTR,2026-09-14 09:55:00-04:00,2026-09-14 10:00:00-04:00,44.0,168.4499969482422,168.35499572753906,-4.1800537109375,2.7778574295043947,-6.957911140441895,11.0
l1_base,PLTR,2026-09-14 10:00:00-04:00,2026-09-14 10:05:00-04:00,11.0,168.35499572753906,167.56500244140625,-8.689926147460938,0.9216075134277344,-9.611533660888671,0.0
l1_base,PLTR,2026-09-14 10:05:00-04:00,2026-09-14 10:10:00-04:00,0.0,167.56500244140625,167.94000244140625,0.0,2.5191000366210936,-2.5191000366210936,-30.0
l1_base,PLTR,2026-09-14 10:10:00-04:00,2026-09-14 10:15:00-04:00,-30.0,167.94000244140625,167.4499969482422,14.700164794921875,2.511749954223633,12.188414840698242,0.0
l1_base,PLTR,2026-09-14 10:15:00-04:00,2026-09-14 10:20:00-04:00,0.0,167.4499969482422,167.46499633789062,0.0,7.117262344360352,-7.117262344360352,85.0
l1_base,PLTR,2026-09-14 10:20:00-04:00,2026-09-14 10:25:00-04:00,85.0,167.46499633789062,167.02000427246094,-37.82432556152344,7.0983501815795895,-44.92267574310303,0.0
l1_base,PLTR,2026-09-14 10:25:00-04:00,2026-09-14 10:35:00-04:00,0.0,167.02000427246094,168.5,0.0,5.729,-5.729,68.0
l1_base,PLTR,2026-09-14 10:35:00-04:00,2026-09-14 10:40:00-04:00,68.0,168.5,168.13499450683594,-24.82037353515625,0.0840674972534179,-24.904441032409668,67.0
l1_base,PLTR,2026-09-14 10:40:00-04:00,2026-09-14 10:45:00-04:00,67.0,168.13499450683594,168.82000732421875,45.89585876464844,0.1688200073242187,45.727038757324216,69.0
l1_base,PLTR,2026-09-14 10:45:00-04:00,2026-09-14 10:50:00-04:00,69.0,168.82000732421875,169.4149932861328,41.05403137207031,0.1694149932861328,40.88461637878418,71.0
l1_base,PLTR,2026-09-14 10:50:00-04:00,2026-09-14 10:55:00-04:00,71.0,169.4149932861328,169.5200958251953,7.4622802734375,9.238845222473143,-1.7765649490356434,180.0
l1_base,PLTR,2026-09-14 10:55:00-04:00,2026-09-14 11:00:00-04:00,180.0,169.5200958251953,169.83999633789062,57.58209228515625,0.0849199981689453,57.49717228698731,179.0
l1_base,PLTR,2026-09-14 11:00:00-04:00,2026-09-14 11:05:00-04:00,179.0,169.83999633789062,169.75,-16.109344482421875,5.007625,-21.116969482421876,120.0
l1_base,PLTR,2026-09-14 11:05:00-04:00,2026-09-14 11:10:00-04:00,120.0,169.75,170.8000030517578,126.0003662109375,0.0854000015258789,125.91496620941162,119.0
l1_base,PLTR,2026-09-14 11:10:00-04:00,2026-09-14 11:15:00-04:00,119.0,170.8000030517578,171.3800048828125,69.02021789550781,1.970870056152344,67.04934783935546,142.0
l1_base,PLTR,2026-09-14 11:15:00-04:00,2026-09-14 11:20:00-04:00,142.0,171.3800048828125,171.52499389648438,20.58843994140625,4.116599853515625,16.471840087890627,94.0
l1_base,PLTR,2026-09-14 11:20:00-04:00,2026-09-14 11:25:00-04:00,94.0,171.52499389648438,171.5,-2.34942626953125,0.1715,-2.52092626953125,92.0
l1_base,PLTR,2026-09-14 11:25:00-04:00,2026-09-14 11:30:00-04:00,92.0,171.5,170.77000427246094,-67.15960693359375,0.5123100128173829,-67.67191694641113,86.0
l1_base,PLTR,2026-09-14 11:30:00-04:00,2026-09-14 11:35:00-04:00,86.0,170.77000427246094,171.82000732421875,90.30026245117188,0.687280029296875,89.612982421875,94.0
l1_base,PLTR,2026-09-14 11:35:00-04:00,2026-09-14 11:40:00-04:00,94.0,171.82000732421875,171.57200622558594,-23.312103271484375,2.31622208404541,-25.628325355529785,67.0
l1_base,PLTR,2026-09-14 11:40:00-04:00,2026-09-14 11:45:00-04:00,67.0,171.57200622558594,171.79010009765625,14.612289428710938,0.1717901000976562,14.440499328613281,69.0
l1_base,PLTR,2026-09-14 11:45:00-04:00,2026-09-14 11:50:00-04:00,69.0,171.79010009765625,171.44500732421875,-23.8114013671875,5.9148527526855466,-29.726254119873047,0.0
l1_base,PLTR,2026-09-14 11:50:00-04:00,2026-09-14 12:05:00-04:00,0.0,171.44500732421875,171.50999450683594,0.0,4.0304848709106444,-4.0304848709106444,-47.0
l1_base,PLTR,2026-09-14 12:05:00-04:00,2026-09-14 12:10:00-04:00,-47.0,171.50999450683594,172.16000366210938,-30.550430297851562,11.879040252685549,-42.42947055053711,-185.0
l1_base,PLTR,2026-09-14 12:10:00-04:00,2026-09-14 12:15:00-04:00,-185.0,172.16000366210938,172.5449981689453,-71.22398376464844,11.215424880981445,-82.43940864562988,-55.0
l1_base,PLTR,2026-09-14 12:15:00-04:00,2026-09-14 12:20:00-04:00,-55.0,172.5449981689453,173.3699951171875,-45.37483215332031,4.767674865722657,-50.14250701904297,0.0
l1_base,PLTR,2026-09-14 12:20:00-04:00,2026-09-14 12:25:00-04:00,0.0,173.3699951171875,173.56500244140625,0.0,1.822432525634765,-1.822432525634765,21.0
l1_base,PLTR,2026-09-14 12:25:00-04:00,2026-09-14 12:30:00-04:00,21.0,173.56500244140625,173.38499450683594,-3.7801666259765625,0.0866924972534179,-3.8668591232299803,20.0
l1_base,PLTR,2026-09-14 12:30:00-04:00,2026-09-14 12:35:00-04:00,20.0,173.38499450683594,173.3538055419922,-0.623779296875,4.940583457946778,-5.564362754821778,77.0
l1_base,PLTR,2026-09-14 12:35:00-04:00,2026-09-14 12:40:00-04:00,77.0,173.3538055419922,172.5,-65.74302673339844,0.08625,-65.82927673339844,76.0
l1_base,PLTR,2026-09-14 12:40:00-04:00,2026-09-14 12:45:00-04:00,76.0,172.5,172.05499267578125,-33.820556640625,7.140282196044922,-40.96083883666992,159.0
l1_base,PLTR,2026-09-14 12:45:00-04:00,2026-09-14 12:50:00-04:00,159.0,172.05499267578125,172.47000122070312,65.98635864257812,0.0862350006103515,65.90012364196777,158.0
l1_base,PLTR,2026-09-14 12:50:00-04:00,2026-09-14 13:00:00-04:00,158.0,172.47000122070312,172.72999572753906,41.079132080078125,0.0863649978637695,40.99276708221436,157.0
l1_base,PLTR,2026-09-14 13:00:00-04:00,2026-09-14 13:05:00-04:00,157.0,172.72999572753906,172.67999267578125,-7.8504791259765625,13.555379425048828,-21.40585855102539,0.0
l1_base,PLTR,2026-09-14 13:05:00-04:00,2026-09-14 13:05:00-04:00,0.0,172.67999267578125,172.67999267578125,0.0,0.5180399780273437,-0.5180399780273437,-6.0
l1_base,PLTR,2026-09-14 13:05:00-04:00,2026-09-14 13:10:00-04:00,-6.0,172.67999267578125,172.52000427246094,0.959930419921875,0.5175600128173828,0.44237040710449216,0.0
l1_base,PLTR,2026-09-14 13:10:00-04:00,2026-09-14 13:10:00-04:00,0.0,172.52000427246094,172.52000427246094,0.0,0.5175600128173828,-0.5175600128173828,6.0
